id,title,text,label
114,Local school wins education award,Researchers successfully created a new eco-friendly education method.,REAL
115,Celebrity caught in secret traffic base,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
116,Aliens spotted in education!,A man claims he traveled from the future and shared winning education numbers.,FAKE
117,Local school wins health award,Researchers successfully created a new eco-friendly health method.,REAL
118,City implements new AI system,The city has installed smart AI to reduce congestion.,REAL
119,Local school wins AI award,The city has installed smart AI to reduce congestion.,REAL
120,City implements new energy system,Researchers successfully created a new eco-friendly energy method.,REAL
121,City implements new energy system,energy High School received the National Excellence Award for education.,REAL
122,Aliens spotted in New York!,A man claims he traveled from the future and shared winning New York numbers.,FAKE
123,Celebrity caught in secret finance base,A man claims he traveled from the future and shared winning finance numbers.,FAKE
124,City implements new diabetes system,The city has installed smart diabetes to reduce congestion.,REAL
125,Economy shows growth in energy sector,The city has installed smart energy to reduce congestion.,REAL
126,Economy shows growth in New York sector,The New York sector has shown positive growth in the last quarter.,REAL
127,Scientists develop sustainable AI source,Researchers successfully created a new eco-friendly AI method.,REAL
128,Scientists develop sustainable AI source,Researchers successfully created a new eco-friendly AI method.,REAL
129,Celebrity caught in secret lottery base,Photos leaked showing a famous actor inside a hidden lottery base.,FAKE
130,Time traveler predicts New York numbers,Photos leaked showing a famous actor inside a hidden New York base.,FAKE
131,Miracle cure for lottery discovered,Internal documents reveal secret project involving lottery.,FAKE
132,Secret government project reveals AI,A man claims he traveled from the future and shared winning AI numbers.,FAKE
133,Time traveler predicts finance numbers,Internal documents reveal secret project involving finance.,FAKE
134,Economy shows growth in traffic sector,traffic High School received the National Excellence Award for education.,REAL
135,Economy shows growth in education sector,education High School received the National Excellence Award for education.,REAL
136,Government announces new energy policy,Researchers successfully created a new eco-friendly energy method.,REAL
137,Celebrity caught in secret traffic base,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
138,Local school wins traffic award,traffic High School received the National Excellence Award for education.,REAL
139,City implements new New York system,Researchers successfully created a new eco-friendly New York method.,REAL
140,Local school wins traffic award,The city has installed smart traffic to reduce congestion.,REAL
141,Scientists develop sustainable New York source,New York High School received the National Excellence Award for education.,REAL
142,Government announces new lottery policy,lottery High School received the National Excellence Award for education.,REAL
143,Aliens spotted in traffic!,A new pill claims to completely cure traffic in one week.,FAKE
144,Secret government project reveals education,Eyewitnesses claim they saw education hovering over the city last night.,FAKE
145,Miracle cure for lottery discovered,Eyewitnesses claim they saw lottery hovering over the city last night.,FAKE
146,Government announces new diabetes policy,diabetes High School received the National Excellence Award for education.,REAL
147,Secret government project reveals traffic,Eyewitnesses claim they saw traffic hovering over the city last night.,FAKE
148,Secret government project reveals energy,A new pill claims to completely cure energy in one week.,FAKE
149,City implements new diabetes system,The diabetes sector has shown positive growth in the last quarter.,REAL
150,City implements new diabetes system,The city has installed smart diabetes to reduce congestion.,REAL
151,Miracle cure for New York discovered,A new pill claims to completely cure New York in one week.,FAKE
152,Government announces new alien policy,alien High School received the National Excellence Award for education.,REAL
153,Secret government project reveals health,Internal documents reveal secret project involving health.,FAKE
154,Local school wins finance award,The city has installed smart finance to reduce congestion.,REAL
155,Government announces new finance policy,The city has installed smart finance to reduce congestion.,REAL
156,Economy shows growth in AI sector,The AI sector has shown positive growth in the last quarter.,REAL
157,Time traveler predicts finance numbers,A man claims he traveled from the future and shared winning finance numbers.,FAKE
158,Government announces new alien policy,The government has passed a new law to improve alien accessibility.,REAL
159,Aliens spotted in health!,A new pill claims to completely cure health in one week.,FAKE
160,Miracle cure for AI discovered,A new pill claims to completely cure AI in one week.,FAKE
161,Local school wins health award,The government has passed a new law to improve health accessibility.,REAL
162,Aliens spotted in traffic!,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
163,Scientists develop sustainable education source,The city has installed smart education to reduce congestion.,REAL
164,Secret government project reveals traffic,Eyewitnesses claim they saw traffic hovering over the city last night.,FAKE
165,City implements new energy system,The government has passed a new law to improve energy accessibility.,REAL
166,Government announces new diabetes policy,The diabetes sector has shown positive growth in the last quarter.,REAL
167,Time traveler predicts traffic numbers,Internal documents reveal secret project involving traffic.,FAKE
168,Time traveler predicts lottery numbers,Eyewitnesses claim they saw lottery hovering over the city last night.,FAKE
169,Time traveler predicts lottery numbers,Eyewitnesses claim they saw lottery hovering over the city last night.,FAKE
170,Scientists develop sustainable health source,The city has installed smart health to reduce congestion.,REAL
171,Local school wins New York award,New York High School received the National Excellence Award for education.,REAL
172,Secret government project reveals New York,Internal documents reveal secret project involving New York.,FAKE
173,Local school wins health award,health High School received the National Excellence Award for education.,REAL
174,Celebrity caught in secret New York base,A new pill claims to completely cure New York in one week.,FAKE
175,Economy shows growth in lottery sector,The lottery sector has shown positive growth in the last quarter.,REAL
176,Government announces new alien policy,alien High School received the National Excellence Award for education.,REAL
177,Secret government project reveals health,Internal documents reveal secret project involving health.,FAKE
178,Celebrity caught in secret AI base,A new pill claims to completely cure AI in one week.,FAKE
179,Miracle cure for alien discovered,Photos leaked showing a famous actor inside a hidden alien base.,FAKE
180,Celebrity caught in secret lottery base,Internal documents reveal secret project involving lottery.,FAKE
181,Local school wins New York award,The city has installed smart New York to reduce congestion.,REAL
182,Scientists develop sustainable AI source,The government has passed a new law to improve AI accessibility.,REAL
183,Time traveler predicts AI numbers,Internal documents reveal secret project involving AI.,FAKE
184,Celebrity caught in secret lottery base,Internal documents reveal secret project involving lottery.,FAKE
185,Secret government project reveals AI,A new pill claims to completely cure AI in one week.,FAKE
186,Economy shows growth in AI sector,AI High School received the National Excellence Award for education.,REAL
187,Government announces new lottery policy,The lottery sector has shown positive growth in the last quarter.,REAL
188,Aliens spotted in energy!,Eyewitnesses claim they saw energy hovering over the city last night.,FAKE
189,Local school wins education award,The government has passed a new law to improve education accessibility.,REAL
190,Local school wins traffic award,Researchers successfully created a new eco-friendly traffic method.,REAL
191,Government announces new traffic policy,traffic High School received the National Excellence Award for education.,REAL
192,Government announces new traffic policy,Researchers successfully created a new eco-friendly traffic method.,REAL
193,Local school wins education award,The education sector has shown positive growth in the last quarter.,REAL
194,Celebrity caught in secret alien base,Internal documents reveal secret project involving alien.,FAKE
195,Economy shows growth in AI sector,Researchers successfully created a new eco-friendly AI method.,REAL
196,City implements new health system,The government has passed a new law to improve health accessibility.,REAL
197,Local school wins diabetes award,diabetes High School received the National Excellence Award for education.,REAL
198,Celebrity caught in secret energy base,A man claims he traveled from the future and shared winning energy numbers.,FAKE
199,Aliens spotted in energy!,A new pill claims to completely cure energy in one week.,FAKE
200,Economy shows growth in New York sector,The city has installed smart New York to reduce congestion.,REAL
201,Local school wins traffic award,The traffic sector has shown positive growth in the last quarter.,REAL
202,Secret government project reveals New York,Eyewitnesses claim they saw New York hovering over the city last night.,FAKE
203,Aliens spotted in lottery!,Eyewitnesses claim they saw lottery hovering over the city last night.,FAKE
204,Celebrity caught in secret AI base,Photos leaked showing a famous actor inside a hidden AI base.,FAKE
205,Economy shows growth in health sector,health High School received the National Excellence Award for education.,REAL
206,Economy shows growth in health sector,The health sector has shown positive growth in the last quarter.,REAL
207,Miracle cure for finance discovered,A new pill claims to completely cure finance in one week.,FAKE
208,Aliens spotted in finance!,Eyewitnesses claim they saw finance hovering over the city last night.,FAKE
209,Aliens spotted in AI!,A man claims he traveled from the future and shared winning AI numbers.,FAKE
210,Miracle cure for lottery discovered,Photos leaked showing a famous actor inside a hidden lottery base.,FAKE
211,Secret government project reveals diabetes,Photos leaked showing a famous actor inside a hidden diabetes base.,FAKE
212,Miracle cure for AI discovered,A new pill claims to completely cure AI in one week.,FAKE
213,Scientists develop sustainable finance source,The finance sector has shown positive growth in the last quarter.,REAL
214,Local school wins health award,health High School received the National Excellence Award for education.,REAL
215,Scientists develop sustainable finance source,finance High School received the National Excellence Award for education.,REAL
216,Aliens spotted in energy!,Eyewitnesses claim they saw energy hovering over the city last night.,FAKE
217,Aliens spotted in AI!,A new pill claims to completely cure AI in one week.,FAKE
218,Local school wins AI award,AI High School received the National Excellence Award for education.,REAL
219,Scientists develop sustainable traffic source,The traffic sector has shown positive growth in the last quarter.,REAL
220,Time traveler predicts lottery numbers,Photos leaked showing a famous actor inside a hidden lottery base.,FAKE
221,City implements new finance system,finance High School received the National Excellence Award for education.,REAL
222,Miracle cure for diabetes discovered,Eyewitnesses claim they saw diabetes hovering over the city last night.,FAKE
223,Local school wins lottery award,lottery High School received the National Excellence Award for education.,REAL
224,Aliens spotted in diabetes!,Photos leaked showing a famous actor inside a hidden diabetes base.,FAKE
225,Aliens spotted in diabetes!,Internal documents reveal secret project involving diabetes.,FAKE
226,Time traveler predicts diabetes numbers,A man claims he traveled from the future and shared winning diabetes numbers.,FAKE
227,Aliens spotted in traffic!,Eyewitnesses claim they saw traffic hovering over the city last night.,FAKE
228,Government announces new AI policy,The AI sector has shown positive growth in the last quarter.,REAL
229,Scientists develop sustainable health source,The health sector has shown positive growth in the last quarter.,REAL
230,Local school wins finance award,Researchers successfully created a new eco-friendly finance method.,REAL
231,Scientists develop sustainable education source,The education sector has shown positive growth in the last quarter.,REAL
232,Aliens spotted in AI!,A new pill claims to completely cure AI in one week.,FAKE
233,Celebrity caught in secret health base,A man claims he traveled from the future and shared winning health numbers.,FAKE
234,Economy shows growth in finance sector,Researchers successfully created a new eco-friendly finance method.,REAL
235,City implements new health system,The government has passed a new law to improve health accessibility.,REAL
236,Miracle cure for New York discovered,A man claims he traveled from the future and shared winning New York numbers.,FAKE
237,Aliens spotted in health!,A man claims he traveled from the future and shared winning health numbers.,FAKE
238,Celebrity caught in secret AI base,Photos leaked showing a famous actor inside a hidden AI base.,FAKE
239,Scientists develop sustainable alien source,The city has installed smart alien to reduce congestion.,REAL
240,Time traveler predicts finance numbers,Photos leaked showing a famous actor inside a hidden finance base.,FAKE
241,Time traveler predicts New York numbers,Photos leaked showing a famous actor inside a hidden New York base.,FAKE
242,Secret government project reveals health,A man claims he traveled from the future and shared winning health numbers.,FAKE
243,Celebrity caught in secret education base,Eyewitnesses claim they saw education hovering over the city last night.,FAKE
244,Time traveler predicts traffic numbers,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
245,Celebrity caught in secret New York base,Photos leaked showing a famous actor inside a hidden New York base.,FAKE
246,Miracle cure for lottery discovered,Photos leaked showing a famous actor inside a hidden lottery base.,FAKE
247,Government announces new diabetes policy,The city has installed smart diabetes to reduce congestion.,REAL
248,City implements new diabetes system,Researchers successfully created a new eco-friendly diabetes method.,REAL
249,Time traveler predicts alien numbers,A man claims he traveled from the future and shared winning alien numbers.,FAKE
250,Local school wins alien award,alien High School received the National Excellence Award for education.,REAL
251,City implements new alien system,The alien sector has shown positive growth in the last quarter.,REAL
252,Aliens spotted in alien!,A man claims he traveled from the future and shared winning alien numbers.,FAKE
253,Government announces new traffic policy,Researchers successfully created a new eco-friendly traffic method.,REAL
254,Time traveler predicts energy numbers,Internal documents reveal secret project involving energy.,FAKE
255,Time traveler predicts traffic numbers,Eyewitnesses claim they saw traffic hovering over the city last night.,FAKE
256,Government announces new lottery policy,The city has installed smart lottery to reduce congestion.,REAL
257,Time traveler predicts lottery numbers,Eyewitnesses claim they saw lottery hovering over the city last night.,FAKE
258,Secret government project reveals diabetes,A man claims he traveled from the future and shared winning diabetes numbers.,FAKE
259,Economy shows growth in education sector,The education sector has shown positive growth in the last quarter.,REAL
260,Miracle cure for traffic discovered,Internal documents reveal secret project involving traffic.,FAKE
261,Scientists develop sustainable health source,health High School received the National Excellence Award for education.,REAL
262,Secret government project reveals traffic,Eyewitnesses claim they saw traffic hovering over the city last night.,FAKE
263,Local school wins traffic award,The government has passed a new law to improve traffic accessibility.,REAL
264,Celebrity caught in secret alien base,A man claims he traveled from the future and shared winning alien numbers.,FAKE
265,Celebrity caught in secret finance base,A man claims he traveled from the future and shared winning finance numbers.,FAKE
266,Economy shows growth in education sector,education High School received the National Excellence Award for education.,REAL
267,Celebrity caught in secret lottery base,A new pill claims to completely cure lottery in one week.,FAKE
268,Economy shows growth in AI sector,Researchers successfully created a new eco-friendly AI method.,REAL
269,Scientists develop sustainable traffic source,Researchers successfully created a new eco-friendly traffic method.,REAL
270,Economy shows growth in health sector,The city has installed smart health to reduce congestion.,REAL
271,Aliens spotted in traffic!,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
272,City implements new diabetes system,Researchers successfully created a new eco-friendly diabetes method.,REAL
273,Economy shows growth in alien sector,Researchers successfully created a new eco-friendly alien method.,REAL
274,Miracle cure for alien discovered,Photos leaked showing a famous actor inside a hidden alien base.,FAKE
275,Scientists develop sustainable lottery source,The lottery sector has shown positive growth in the last quarter.,REAL
276,Government announces new energy policy,The energy sector has shown positive growth in the last quarter.,REAL
277,Celebrity caught in secret energy base,A new pill claims to completely cure energy in one week.,FAKE
278,Aliens spotted in alien!,Internal documents reveal secret project involving alien.,FAKE
279,Economy shows growth in finance sector,Researchers successfully created a new eco-friendly finance method.,REAL
280,Aliens spotted in AI!,Photos leaked showing a famous actor inside a hidden AI base.,FAKE
281,Miracle cure for finance discovered,A new pill claims to completely cure finance in one week.,FAKE
282,Time traveler predicts lottery numbers,Eyewitnesses claim they saw lottery hovering over the city last night.,FAKE
283,Secret government project reveals lottery,A new pill claims to completely cure lottery in one week.,FAKE
284,Government announces new New York policy,The city has installed smart New York to reduce congestion.,REAL
285,City implements new finance system,Researchers successfully created a new eco-friendly finance method.,REAL
286,Aliens spotted in energy!,Eyewitnesses claim they saw energy hovering over the city last night.,FAKE
287,Celebrity caught in secret lottery base,Photos leaked showing a famous actor inside a hidden lottery base.,FAKE
288,Celebrity caught in secret AI base,Eyewitnesses claim they saw AI hovering over the city last night.,FAKE
289,Local school wins energy award,energy High School received the National Excellence Award for education.,REAL
290,Scientists develop sustainable health source,health High School received the National Excellence Award for education.,REAL
291,City implements new lottery system,lottery High School received the National Excellence Award for education.,REAL
292,City implements new energy system,The city has installed smart energy to reduce congestion.,REAL
293,City implements new education system,education High School received the National Excellence Award for education.,REAL
294,Scientists develop sustainable diabetes source,The government has passed a new law to improve diabetes accessibility.,REAL
295,Local school wins finance award,finance High School received the National Excellence Award for education.,REAL
296,Miracle cure for AI discovered,Internal documents reveal secret project involving AI.,FAKE
297,Celebrity caught in secret New York base,Photos leaked showing a famous actor inside a hidden New York base.,FAKE
298,Economy shows growth in lottery sector,The city has installed smart lottery to reduce congestion.,REAL
299,Secret government project reveals health,Eyewitnesses claim they saw health hovering over the city last night.,FAKE
300,Scientists develop sustainable health source,The government has passed a new law to improve health accessibility.,REAL
301,Local school wins energy award,Researchers successfully created a new eco-friendly energy method.,REAL
302,Government announces new energy policy,energy High School received the National Excellence Award for education.,REAL
303,Secret government project reveals health,Eyewitnesses claim they saw health hovering over the city last night.,FAKE
304,City implements new energy system,The energy sector has shown positive growth in the last quarter.,REAL
305,Aliens spotted in traffic!,Eyewitnesses claim they saw traffic hovering over the city last night.,FAKE
306,Scientists develop sustainable education source,The government has passed a new law to improve education accessibility.,REAL
307,Aliens spotted in education!,A man claims he traveled from the future and shared winning education numbers.,FAKE
308,Government announces new traffic policy,Researchers successfully created a new eco-friendly traffic method.,REAL
309,City implements new education system,The education sector has shown positive growth in the last quarter.,REAL
310,Economy shows growth in lottery sector,The lottery sector has shown positive growth in the last quarter.,REAL
311,Local school wins finance award,Researchers successfully created a new eco-friendly finance method.,REAL
312,Government announces new education policy,The government has passed a new law to improve education accessibility.,REAL
313,City implements new education system,The city has installed smart education to reduce congestion.,REAL
314,Secret government project reveals New York,Internal documents reveal secret project involving New York.,FAKE
315,City implements new alien system,alien High School received the National Excellence Award for education.,REAL
316,Scientists develop sustainable education source,The government has passed a new law to improve education accessibility.,REAL
317,Secret government project reveals alien,Photos leaked showing a famous actor inside a hidden alien base.,FAKE
318,Aliens spotted in energy!,Photos leaked showing a famous actor inside a hidden energy base.,FAKE
319,Secret government project reveals diabetes,Internal documents reveal secret project involving diabetes.,FAKE
320,City implements new New York system,Researchers successfully created a new eco-friendly New York method.,REAL
321,Time traveler predicts AI numbers,Photos leaked showing a famous actor inside a hidden AI base.,FAKE
322,Miracle cure for finance discovered,Eyewitnesses claim they saw finance hovering over the city last night.,FAKE
323,Celebrity caught in secret diabetes base,A new pill claims to completely cure diabetes in one week.,FAKE
324,Scientists develop sustainable diabetes source,The city has installed smart diabetes to reduce congestion.,REAL
325,Local school wins finance award,The finance sector has shown positive growth in the last quarter.,REAL
326,Time traveler predicts education numbers,A new pill claims to completely cure education in one week.,FAKE
327,Economy shows growth in AI sector,The AI sector has shown positive growth in the last quarter.,REAL
328,Time traveler predicts energy numbers,Eyewitnesses claim they saw energy hovering over the city last night.,FAKE
329,City implements new New York system,New York High School received the National Excellence Award for education.,REAL
330,City implements new traffic system,The government has passed a new law to improve traffic accessibility.,REAL
331,City implements new alien system,The alien sector has shown positive growth in the last quarter.,REAL
332,Local school wins AI award,The government has passed a new law to improve AI accessibility.,REAL
333,Celebrity caught in secret health base,A man claims he traveled from the future and shared winning health numbers.,FAKE
334,Scientists develop sustainable New York source,The city has installed smart New York to reduce congestion.,REAL
335,Scientists develop sustainable education source,The education sector has shown positive growth in the last quarter.,REAL
336,Time traveler predicts education numbers,Internal documents reveal secret project involving education.,FAKE
337,Scientists develop sustainable alien source,alien High School received the National Excellence Award for education.,REAL
338,Miracle cure for AI discovered,A man claims he traveled from the future and shared winning AI numbers.,FAKE
339,Celebrity caught in secret New York base,A man claims he traveled from the future and shared winning New York numbers.,FAKE
340,City implements new traffic system,The traffic sector has shown positive growth in the last quarter.,REAL
341,Miracle cure for diabetes discovered,Photos leaked showing a famous actor inside a hidden diabetes base.,FAKE
342,Celebrity caught in secret New York base,A man claims he traveled from the future and shared winning New York numbers.,FAKE
343,Aliens spotted in AI!,Photos leaked showing a famous actor inside a hidden AI base.,FAKE
344,Celebrity caught in secret traffic base,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
345,Aliens spotted in energy!,Internal documents reveal secret project involving energy.,FAKE
346,Scientists develop sustainable lottery source,The government has passed a new law to improve lottery accessibility.,REAL
347,Government announces new lottery policy,lottery High School received the National Excellence Award for education.,REAL
348,City implements new traffic system,The government has passed a new law to improve traffic accessibility.,REAL
349,Miracle cure for alien discovered,Internal documents reveal secret project involving alien.,FAKE
350,Aliens spotted in diabetes!,A new pill claims to completely cure diabetes in one week.,FAKE
351,Secret government project reveals New York,Internal documents reveal secret project involving New York.,FAKE
352,Secret government project reveals AI,Internal documents reveal secret project involving AI.,FAKE
353,City implements new health system,The government has passed a new law to improve health accessibility.,REAL
354,City implements new lottery system,The lottery sector has shown positive growth in the last quarter.,REAL
355,Local school wins energy award,The energy sector has shown positive growth in the last quarter.,REAL
356,Government announces new energy policy,Researchers successfully created a new eco-friendly energy method.,REAL
357,City implements new diabetes system,The city has installed smart diabetes to reduce congestion.,REAL
